PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
,20260605,,1,1,"Brooks, Tyler",,Right,BRK_BAN,"Salas, Diego",,Right,DOV_ANC,,1,Top,0,0,0,Changeup,Changeup,BallCalled,,,,,,,84.5,,,1841,49.9,,5.91,1.81,6.37,,9.0,10.7,2.53,-1.33,,-6.2,1.6,,,,,,,,,,,,,,,,,,,,,,,,BRK_BAN,DOV_ANC,BanditsBallpark,,,20260605-BanditsBallpark-1,,,,,,,,,,,,,,,,,,,,,,"Boyd, Marcus",,Right,BRK_BAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20260605,,1,2,"Brooks, Tyler",,Right,BRK_BAN,"Salas, Diego",,Right,DOV_ANC,,1,Top,0,1,0,Slider,Slider,InPlay,,GroundBall,Out,1,,,81.7,,,2471,278.8,,5.64,1.94,5.83,,0.7,-4.5,2.01,-0.09,,-4.7,-1.2,,71.0,-11.8,-2.5,,,,,90.1,90.1,,,,,,,,,,,,,,BRK_BAN,DOV_ANC,BanditsBallpark,,,20260605-BanditsBallpark-1,,,,,,,,,,,,,,,,,GroundBall,,,,,"Boyd, Marcus",,Right,BRK_BAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20260605,,2,1,"Brooks, Tyler",,Right,BRK_BAN,"Ruiz, Danny",,Right,DOV_ANC,,1,Top,1,0,0,Four-Seam,Four-Seam,StrikeCalled,,,,,,,94.2,,,2231,23.1,,5.78,1.83,5.91,,17.4,7.4,2.52,-0.21,,-6.6,2.0,,,,,,,,,,,,,,,,,,,,,,,,BRK_BAN,DOV_ANC,BanditsBallpark,,,20260605-BanditsBallpark-1,,,,,,,,,,,,,,,,,,,,,,"Boyd, Marcus",,Right,BRK_BAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20260605,,2,2,"Brooks, Tyler",,Right,BRK_BAN,"Ruiz, Danny",,Right,DOV_ANC,,1,Top,1,0,1,Four-Seam,Four-Seam,StrikeSwinging,,,,,,,93.9,,,2293,20.8,,5.78,1.9,6.36,,12.8,4.9,2.45,-0.04,,-5.6,-0.1,,,,,,,,,,,,,,,,,,,,,,,,BRK_BAN,DOV_ANC,BanditsBallpark,,,20260605-BanditsBallpark-1,,,,,,,,,,,,,,,,,,,,,,"Boyd, Marcus",,Right,BRK_BAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20260605,,2,3,"Brooks, Tyler",,Right,BRK_BAN,"Ruiz, Danny",,Right,DOV_ANC,,1,Top,1,0,2,Four-Seam,Four-Seam,InPlay,,LineDrive,Single,,,,93.6,,,2322,18.1,,5.6,1.95,6.08,,17.9,5.8,2.74,0.08,,-6.5,1.4,,72.1,15.5,33.0,,,,,267.9,267.9,,,,,,,,,,,,,,BRK_BAN,DOV_ANC,BanditsBallpark,,,20260605-BanditsBallpark-1,,,,,,,,,,,,,,,,,LineDrive,,,,,"Boyd, Marcus",,Right,BRK_BAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20260605,,3,1,"Brooks, Tyler",,Right,BRK_BAN,"Ott, Cameron",,Right,DOV_ANC,,1,Top,1,0,0,Four-Seam,Four-Seam,BallCalled,,,,,,,92.7,,,2229,22.9,,5.76,2.08,6.12,,17.9,7.6,2.77,0.94,,-6.9,1.2,,,,,,,,,,,,,,,,,,,,,,,,BRK_BAN,DOV_ANC,BanditsBallpark,,,20260605-BanditsBallpark-1,,,,,,,,,,,,,,,,,,,,,,"Boyd, Marcus",,Right,BRK_BAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20260605,,3,2,"Brooks, Tyler",,Right,BRK_BAN,"Ott, Cameron",,Right,DOV_ANC,,1,Top,1,1,0,Four-Seam,Four-Seam,BallCalled,,,,,,,93.9,,,2364,26.4,,5.89,2.02,6.32,,15.2,7.5,3.77,0.6,,-6.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,BRK_BAN,DOV_ANC,BanditsBallpark,,,20260605-BanditsBallpark-1,,,,,,,,,,,,,,,,,,,,,,"Boyd, Marcus",,Right,BRK_BAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20260605,,3,3,"Brooks, Tyler",,Right,BRK_BAN,"Ott, Cameron",,Right,DOV_ANC,,1,Top,1,2,0,Four-Seam,Four-Seam,FoulBallNotFieldable,,,,,,,93.7,,,2221,19.0,,5.89,1.87,6.27,,15.9,5.5,2.83,0.16,,-6.4,1.2,,,,,,,,,,,,,,,,,,,,,,,,BRK_BAN,DOV_ANC,BanditsBallpark,,,20260605-BanditsBallpark-1,,,,,,,,,,,,,,,,,,,,,,"Boyd, Marcus",,Right,BRK_BAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20260605,,3,4,"Brooks, Tyler",,Right,BRK_BAN,"Ott, Cameron",,Right,DOV_ANC,,1,Top,1,2,1,Changeup,Changeup,InPlay,,FlyBall,Out,1,,,85.7,,,1860,59.6,,5.87,1.88,6.34,,6.3,10.7,2.23,-0.47,,-5.7,2.5,,76.2,41.4,-45,,,,,139.9,139.9,,,,,,,,,,,,,,BRK_BAN,DOV_ANC,BanditsBallpark,,,20260605-BanditsBallpark-1,,,,,,,,,,,,,,,,,FlyBall,,,,,"Boyd, Marcus",,Right,BRK_BAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20260605,,4,1,"Brooks, Tyler",,Right,BRK_BAN,"Whitman, Tanner",,Left,DOV_ANC,,1,Top,2,0,0,Four-Seam,Four-Seam,StrikeSwinging,,,,,,,93.0,,,2242,22.5,,5.56,1.94,5.93,,18.0,7.5,3.38,0.4,,-6.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,BRK_BAN,DOV_ANC,BanditsBallpark,,,20260605-BanditsBallpark-1,,,,,,,,,,,,,,,,,,,,,,"Boyd, Marcus",,Right,BRK_BAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
